100 1000
2 1 565989343
3 2 722475499
4 3 651570665
5 2 648223607
6 5 543853331
7 6 842313993
8 3 995000147
9 5 561194530
10 7 952208966
11 1 855023719
12 6 813334041
13 5 863092984
14 2 924348034
15 3 724962406
16 12 606899534
17 15 531386686
18 7 507887179
19 12 754692174
20 12 599370388
21 1 780049162
22 15 621957265
23 15 817108918
24 22 569481000
25 17 973593929
26 7 769436903
27 2 875671074
28 11 555573821
29 23 828437761
30 3 998167540
31 4 879188459
32 25 715167371
33 7 745523673
34 29 908091687
35 12 845243749
36 25 692126248
37 10 911688151
38 20 704261296
39 22 849101372
40 35 535972760
41 4 712660842
42 40 889755052
43 11 955674912
44 40 589283617
45 3 872141481
46 34 884820640
47 18 521794723
48 8 940102754
49 47 761604315
50 23 640461865
51 11 646026080
52 3 713872420
53 30 502404664
54 44 830178803
55 27 685041758
56 17 948904048
57 50 662315247
58 28 652713448
59 13 972816820
60 41 971922146
61 59 752024681
62 48 511934123
63 48 835804014
64 57 785016126
65 25 561209549
66 15 835301702
67 9 833817520
68 33 767434051
69 50 833598405
70 46 567182368
71 56 558446875
72 32 901134525
73 65 995285120
74 19 656752690
75 48 885720685
76 54 976663518
77 68 908285433
78 35 633327739
79 65 719841901
80 61 867819983
81 6 864577143
82 3 589513394
83 57 894583559
84 78 658505602
85 36 523895382
86 23 516874556
87 72 589723572
88 46 734239180
89 76 630648070
90 67 585274462
91 58 543320862
92 39 508500657
93 58 805123667
94 74 654920884
95 4 630285314
96 27 747427071
97 23 530725348
98 45 998159331
99 53 670854742
100 35 606000672
92 6 589425497
68 43 832283250
7 86 784839651
38 75 933460560
87 79 546918423
84 2 730639223
21 96 694372188
72 81 580491116
87 4 619151089
85 6 971858068
71 54 897092490
60 62 710710002
56 89 968643817
28 76 925543991
89 83 530551906
10 88 878293274
10 84 990534561
95 62 568789795
32 56 548710501
78 2 566470337
9 95 533900223
89 1 610664970
42 54 691511961
28 81 880357655
80 68 619304135
86 96 685955769
17 78 682562767
96 83 702772722
53 63 616179961
80 89 592117879
91 42 948494326
94 49 812095860
4 56 616831542
71 10 942151514
81 68 528272007
99 34 651072799
67 10 924346319
15 86 941324603
32 2 895545951
53 52 638009232
99 82 944531349
87 73 735734369
66 27 851862602
58 46 601100752
62 68 527815019
33 96 575462933
58 20 646057076
68 85 660331399
21 74 890689720
90 14 848237519
85 76 778387150
1 81 530720954
71 65 777499069
51 13 916228556
52 75 798442934
53 75 749077788
100 22 943990434
88 22 834937919
59 23 882997380
75 79 534915784
90 83 503724736
99 51 701063952
92 54 644304575
79 45 934289581
51 38 872720057
9 78 683056577
5 65 897219778
70 44 669366577
3 24 611375495
100 21 803961833
33 57 811288832
54 83 655785635
94 34 556013717
73 68 650057689
4 68 979874373
83 9 531097194
6 55 845618918
7 67 653240619
88 28 680840100
82 34 662728012
5 51 625356552
28 92 553322744
56 41 951207535
3 89 701028148
42 55 518461522
97 48 616584711
24 50 913842385
23 67 700478675
83 82 639526246
54 37 910910835
15 87 843833511
14 85 746036406
12 85 552176297
85 29 816090254
68 61 587843654
38 74 755720044
49 65 693206880
6 83 750407127
98 57 618295744
86 89 884879939
7 76 508950410
50 91 878223909
25 51 791535556
98 91 759866980
34 100 547534629
63 58 560731647
49 82 661652793
99 83 641628144
42 44 645365406
67 41 618413674
57 37 504600124
77 65 505050389
21 59 679932729
11 89 911021608
82 25 691187474
65 91 516439305
52 85 731387412
78 92 923418620
51 52 727195326
68 58 638096088
38 61 834954844
57 95 659535567
13 63 622129758
15 56 669753277
74 51 889299179
100 68 750808780
91 49 916690925
12 70 958965764
74 91 807201369
23 52 535408243
34 98 979141655
69 92 810517302
33 25 962291662
98 53 743535051
7 55 705953943
89 70 817604826
89 91 811951642
29 57 761634192
58 12 914452770
53 43 566641784
82 44 828915050
85 28 821425831
82 28 799316589
31 81 637553048
49 88 522968034
65 72 836083062
38 85 771031210
2 74 825412147
75 24 883049685
74 18 692414765
64 31 755472541
70 39 938309346
87 25 577607044
48 72 987179853
28 89 784114117
97 42 741756397
12 97 600559699
76 70 823596493
13 83 932888717
86 92 864293533
22 87 536026087
13 61 607295481
57 21 736754903
70 17 811305441
47 9 536833968
49 97 556639712
46 81 916220858
10 74 545090207
75 90 982623988
58 67 617296408
35 65 968988903
94 23 656033923
90 25 712293797
98 15 726493660
96 55 506925499
76 40 572554659
97 45 603116627
49 76 734362286
88 13 788437767
32 52 902290841
75 77 690467621
58 13 948887301
56 74 617582237
80 5 815343761
60 40 585496214
38 59 610018898
5 92 763496702
65 41 979221015
95 45 957878002
78 82 831166345
97 95 611379281
38 99 853940030
67 48 564782059
75 43 651557393
63 98 818978601
80 73 723635766
69 4 862672124
38 66 788995342
52 84 910547638
1 82 834252342
89 8 811248861
83 31 683073850
48 58 857049101
4 96 925059894
86 88 506804610
41 45 834573102
78 22 994130376
71 5 773894590
93 17 937315624
77 96 971207648
88 17 735496733
87 29 877965596
55 75 749649567
59 39 878654555
50 86 921687689
42 8 921997413
30 80 540919874
79 72 875654386
30 61 761423405
88 45 890876833
71 31 738269179
73 85 942952608
65 86 786652238
90 1 541768375
3 96 676261503
92 89 568339761
90 95 630530031
3 49 724955245
47 73 580021639
77 18 558442270
91 53 856126514
23 26 558797539
58 97 892696190
76 9 512793466
89 25 688690087
43 70 617597719
89 46 884343636
57 6 811713216
27 97 762368827
96 14 998781481
24 80 504154678
27 76 583612949
58 79 837126033
64 52 859547709
71 1 886161502
59 82 543281704
11 69 973427599
64 53 634726577
42 82 781220474
96 17 917681929
24 77 755673756
26 48 850555310
61 99 589828066
13 91 857114175
81 61 995393618
30 51 564569364
81 30 502677231
86 17 661399687
52 86 804370044
90 100 800640926
87 61 919132187
72 45 966447569
62 73 513230367
71 12 554437860
57 63 533280407
19 57 545604481
33 37 938014256
55 73 718774833
25 23 570169557
71 61 952159256
83 50 668311061
62 9 843364367
93 80 879500788
88 47 745145767
68 2 909570411
13 71 847604876
12 75 807264978
71 68 663461712
66 50 563823653
78 86 699644368
75 30 614958374
58 45 689429967
44 74 977840775
70 21 863682605
95 92 802258896
64 3 711585873
64 5 775474718
45 64 526360522
66 41 993094859
6 38 919499493
63 1 799194778
77 8 540857785
50 82 948692587
58 71 785040908
4 24 827640601
6 82 896138493
97 63 829030518
66 65 851287425
78 11 812577839
70 48 527601294
33 54 995978534
94 48 561950284
36 81 707556832
3 61 614418274
74 32 576284625
96 25 547433019
86 66 548304314
62 45 683201826
73 6 574018147
37 14 532446859
61 74 595150733
58 100 620172020
92 98 605860591
97 98 704664441
58 35 848941356
85 13 740816437
86 93 560100450
72 44 721432503
60 70 920871151
96 39 528531171
44 85 987404499
100 94 769315252
10 40 607102966
61 96 781953576
64 59 600535201
82 63 551542619
3 51 665283736
89 27 731992975
88 75 662249539
78 91 811547042
47 64 803553914
26 56 534850002
55 38 689547104
18 79 752126197
52 71 837800873
97 28 884776109
65 12 715321636
85 10 661962685
96 94 609190287
23 82 842182449
7 87 826523570
80 66 515355417
14 33 540121969
85 48 589670714
9 89 637876382
35 74 560445309
58 8 820167787
86 13 565390336
78 47 796883431
88 84 926661089
99 36 691011382
51 37 587449953
30 94 975679965
30 44 582747852
89 20 551060514
63 100 544472546
59 5 773616414
15 78 699436970
95 75 980156581
60 75 930507905
77 55 637424365
71 73 562950660
91 52 945481539
3 66 597092342
76 11 921454095
60 46 535336119
21 88 927054931
55 11 940619023
87 12 628827452
12 27 826435991
89 96 827488455
62 14 650728244
67 37 892753345
29 92 902811742
81 75 828265626
36 91 766958290
17 65 770371362
7 91 509488596
55 86 852319201
57 73 980513196
55 23 556677991
51 58 989492190
90 65 755382717
91 64 695113928
70 88 808728828
37 69 983215298
78 58 862861954
84 95 579333525
32 91 688940427
72 33 998796175
6 80 586993857
63 51 580407150
8 53 931537426
15 62 953919713
4 52 860139517
91 40 642601773
44 11 675300285
40 62 767000164
78 13 623575386
62 71 843620952
2 58 953182679
18 60 745190310
64 9 729106282
84 87 587654857
55 89 549183098
88 92 833743713
53 65 906379984
30 88 670717579
44 99 796997821
12 78 970382424
51 55 669761064
19 93 556256969
57 17 796447422
77 30 690685844
82 22 985659233
52 46 597741869
76 36 689532529
91 30 967459956
68 67 869425455
85 90 678223065
74 77 674489071
80 48 954946239
99 37 963658096
86 64 752850476
18 85 848456760
14 79 963601390
7 54 517212912
32 77 888542424
32 64 657511940
57 51 606079478
29 91 959071567
94 91 782992455
18 95 711645565
69 56 806762672
71 63 651144008
69 96 965759920
100 26 717473709
68 3 626804655
92 76 991824001
9 61 689485241
69 51 552785205
71 39 657405090
78 20 520344165
89 73 955521528
23 62 735577780
73 48 856377904
83 85 932211544
86 46 609328094
64 36 505629435
34 71 606053595
27 67 822056767
74 25 528637952
55 31 693952756
86 76 646760414
24 63 781627422
26 88 619672951
61 51 988047988
27 73 821443296
88 42 533808142
31 72 967143566
63 86 571462690
41 86 919355728
39 78 693965275
20 46 875776883
30 72 967319082
33 69 800958473
33 89 644441643
59 19 531490248
76 23 756493096
18 27 598494375
65 99 920838169
18 93 770251834
80 70 906541760
85 11 551949995
43 84 775255282
70 95 592902555
65 22 665491366
87 45 782198321
57 36 637233179
13 89 708766504
83 40 624897126
45 57 611335421
47 51 879246723
55 93 697334628
12 67 593065409
80 50 662206974
39 97 673510034
77 95 875004507
26 67 820056268
55 14 577535020
91 61 504471375
89 94 770055305
59 73 510801252
63 28 749069478
4 86 529794820
92 35 934434908
67 29 971344979
88 6 634366114
4 57 675941650
5 88 992305706
69 59 925594508
60 1 633951626
44 66 737114704
22 66 833658414
52 13 873927427
89 7 997340399
29 99 866330162
74 96 597114229
21 66 520330752
73 21 977960786
28 54 753723656
55 68 900024771
71 90 513195470
79 94 803435628
95 64 714037134
61 76 765551495
71 7 722486717
27 65 602572691
84 13 816290522
71 27 601638671
54 19 804247374
63 41 884426403
54 88 962778010
97 75 757116153
54 73 698871151
5 56 687753005
51 39 722706516
11 93 888120296
55 28 804119143
86 39 627517017
14 80 638677413
32 86 896080404
60 36 519048311
31 60 524906738
54 100 624543357
83 98 650641268
67 80 632112453
89 32 701057330
46 98 798594258
14 36 642740588
20 82 999538713
62 32 533117395
1 67 654393139
54 29 585129450
12 7 771453107
68 18 907172522
18 73 598262611
57 55 793579453
82 38 725707946
15 52 959897095
66 91 749245761
64 46 532858203
53 12 807331009
79 49 978219570
88 8 550905364
67 79 591835770
1 87 606687370
18 50 994666060
62 75 646430964
3 25 960913267
74 36 890851932
54 65 932075025
99 92 784163550
59 57 688732758
65 52 979415994
53 18 677545798
94 40 643233267
49 77 679087494
88 29 976661905
40 78 593399927
83 49 640126919
88 18 738055627
63 20 607444008
10 64 521283829
26 81 571701974
94 20 504082961
60 20 505078906
39 80 600962580
87 95 853119291
32 43 607028420
90 89 944478603
74 98 724353531
70 24 636858423
75 49 780648845
88 61 779343185
75 63 943760217
100 42 889280065
33 99 994824978
78 74 969964702
22 59 676402296
44 51 677015334
66 56 838982945
7 98 548987220
32 12 653508145
78 60 750719962
95 88 659000615
18 89 804284362
68 28 825375099
68 86 752561201
3 74 622535741
23 31 984598243
34 55 799557343
48 59 882282410
82 45 777822257
26 85 812719007
56 58 628336017
59 67 875613318
70 97 614997711
64 73 730252935
65 23 959672576
81 7 913487631
100 76 976217180
96 53 827622542
75 59 681657618
16 7 980443860
85 37 584135177
53 19 878890336
90 52 874098886
46 14 631066224
19 71 564664302
22 93 896445537
1 69 629543251
94 71 626626751
32 82 649621890
75 86 532547901
62 98 861318012
89 14 585125859
19 73 920051611
64 50 627818178
65 43 916329248
88 35 907376034
27 51 831739203
38 95 586236792
66 12 845365624
48 31 727819124
92 100 539828668
89 31 500423137
59 28 519413608
56 85 585120391
60 89 616676252
51 78 618939232
78 16 501195904
65 6 836069593
25 78 827421012
63 17 663839279
88 58 505393801
11 94 644190950
64 56 640012796
100 75 771712392
74 31 972463689
25 58 908983459
63 43 853250213
86 6 756117679
61 1 975825656
99 22 786250800
53 1 566982393
16 52 607843682
35 62 581335271
51 84 701936606
83 14 692695102
74 40 719375740
1 86 728970885
64 60 821322216
12 33 831861702
22 79 983534315
91 55 998513029
72 9 531436227
42 74 960787948
93 88 540410038
78 18 543919822
81 71 962202774
26 47 895793502
92 42 902657069
64 61 879739857
82 13 554171822
70 49 964882018
58 75 726103991
43 72 826436838
15 63 686665789
30 43 969632772
58 81 989498807
54 90 899324587
71 59 755236150
89 50 859320973
41 94 539272197
19 82 557904717
88 72 806828337
38 60 587539242
18 9 666170931
26 65 841332187
65 62 622350593
31 65 687697771
85 69 595312912
75 29 835708452
52 1 766692511
60 63 723649210
51 46 953860446
80 37 621813016
8 61 537517540
42 73 834927672
14 53 562275112
35 72 647299760
64 71 657323292
77 35 611084493
95 86 921778947
79 43 642231900
99 26 901229892
100 60 531629919
33 53 650690763
60 6 803561778
100 27 904374208
46 57 622057016
89 97 940368153
100 84 556441252
26 86 583099878
5 79 597512302
92 74 597977499
82 58 739143707
99 97 799757281
24 81 613771339
35 86 537963169
8 76 865917137
28 36 684236183
32 35 834469930
2 71 597572238
31 61 812031701
70 31 888082286
8 92 753646884
74 59 877099532
67 33 954711579
3 73 604060279
90 26 790353844
8 69 731941300
55 82 876981894
52 62 524756368
22 77 787419032
81 63 846857558
79 33 511733816
82 91 799726810
94 32 505817906
41 64 633962519
62 64 988400541
81 67 927711045
86 53 729856208
61 2 899673595
88 33 824555052
78 4 930321743
66 36 634688739
69 45 858013885
38 79 535157467
55 47 786643554
99 80 956262871
30 65 556850324
66 97 923884589
16 58 857946937
76 33 552317408
76 90 775475639
76 67 687007921
55 8 996699181
68 47 769635356
58 73 863741445
34 53 520384612
81 49 825832223
43 76 756092800
77 100 789534172
41 99 584493982
77 39 767826415
82 51 946658541
95 3 704998499
73 86 564675843
93 10 725893565
32 78 852035909
69 27 820163872
93 3 684444722
66 45 792368804
59 49 794102270
98 49 986876904
87 68 622990843
20 56 632676513
79 100 748804171
20 55 979332293
99 77 989061211
72 25 864060458
61 69 669468426
34 78 502958981
6 56 642940536
79 82 756437972
43 73 585265135
81 76 638092716
40 90 778945021
63 73 767649350
34 85 884474103
84 93 635757012
56 2 915236023
17 85 906901092
9 57 637372346
98 65 996567112
