2000 100000
2 1 634159706
3 2 660604640
4 2 662282523
5 4 538404905
6 4 987800850
7 6 665735079
8 1 805977230
9 3 796945283
10 6 689256177
11 9 546405094
12 7 831429714
13 9 735794992
14 11 603929401
15 6 701263987
16 7 599429789
17 16 672254679
18 3 723751093
19 11 706296261
20 11 548644464
21 20 525547290
22 13 613751688
23 3 653111218
24 4 501921673
25 10 599018745
26 13 583619911
27 19 541539192
28 8 700668055
29 8 550430577
30 3 769961032
31 14 975827200
32 30 823983789
33 19 988141926
34 12 578112570
35 27 627539040
36 18 534300154
37 25 868597441
38 5 963969782
39 22 548109984
40 16 921333689
41 31 601843674
42 13 619252373
43 1 954428606
44 38 647340900
45 17 776434200
46 25 868836804
47 17 821078517
48 26 820946733
49 8 942634968
50 48 867798869
51 14 952087611
52 35 658676911
53 52 680033932
54 14 645093911
55 38 572455946
56 15 967214818
57 27 958657318
58 35 761486824
59 16 766917217
60 18 531659598
61 17 865580725
62 32 972642826
63 45 854631435
64 40 884831105
65 41 706596174
66 46 640777907
67 5 914328351
68 65 780578756
69 43 791751727
70 9 556337385
71 6 522518217
72 3 724278538
73 47 709455903
74 30 724339085
75 49 649583945
76 21 593796650
77 12 807734041
78 24 784923575
79 48 571174714
80 27 551888719
81 45 951090218
82 57 623305026
83 22 919649813
84 15 756904365
85 42 687145369
86 8 920492969
87 3 611000310
88 37 989594742
89 43 623143238
90 33 944454929
91 12 656374943
92 26 927439885
93 45 972897365
94 73 704629416
95 46 684227771
96 78 984123514
97 79 952081676
98 10 750829615
99 93 764336742
100 41 595546143
101 70 605773819
102 52 732159699
103 46 924547306
104 31 688889771
105 96 892359516
106 48 644369474
107 57 714268620
108 15 542855244
109 8 600845498
110 82 946630139
111 40 820936713
112 63 974838057
113 55 933009622
114 32 526287334
115 74 862522266
116 75 692050448
117 109 975607495
118 110 698813221
119 76 503443775
120 102 792125549
121 33 680498785
122 26 806028586
123 35 875915642
124 69 693153916
125 37 553273305
126 113 573309707
127 37 659386843
128 120 922220481
129 78 906641319
130 7 698850836
131 53 646082172
132 29 629967541
133 7 870209453
134 106 894294684
135 132 593467341
136 28 729537474
137 45 611308439
138 101 734048281
139 84 751034002
140 138 732781171
141 106 541075587
142 135 942039415
143 115 533201962
144 120 950218469
145 77 869704418
146 33 827058087
147 70 906521363
148 10 564536706
149 10 940884127
150 79 584717428
151 67 635946924
152 129 570352368
153 61 964078463
154 60 881883547
155 149 964245564
156 16 590546244
157 112 991626441
158 2 589551131
159 89 568660272
160 2 972060796
161 110 940428839
162 161 547530443
163 6 695163050
164 70 786109485
165 66 611473357
166 1 644275499
167 15 962132791
168 80 585851258
169 19 867552730
170 120 562505853
171 62 587093729
172 120 743438662
173 64 570665980
174 111 794770709
175 58 527137894
176 34 868549291
177 24 667818328
178 93 695682798
179 137 607387848
180 140 783605675
181 104 830308265
182 21 971248766
183 112 840705543
184 158 960374566
185 184 937864104
186 68 774703052
187 24 537511722
188 25 780018700
189 83 639809197
190 74 552568768
191 148 851831429
192 56 641809877
193 182 906610581
194 131 721728700
195 83 977429815
196 29 570354480
197 154 707685604
198 134 519204457
199 197 614597107
200 129 675072760
201 173 587740459
202 169 766142165
203 2 569749761
204 138 668742253
205 114 893465261
206 46 579536571
207 136 863012741
208 156 650773153
209 79 626974782
210 82 516816418
211 17 835754240
212 36 952517681
213 156 710336109
214 90 597379883
215 40 601081621
216 42 865903671
217 202 901464804
218 125 506989092
219 203 879007118
220 142 878900349
221 198 906346509
222 155 549892578
223 150 599751584
224 52 617507316
225 78 846529271
226 76 918444366
227 210 578493548
228 172 797873253
229 95 503835256
230 192 754629695
231 31 581145543
232 185 649899622
233 145 591827092
234 69 605848200
235 232 976162875
236 213 501525905
237 136 622805790
238 233 954233426
239 135 957326414
240 48 747895537
241 139 882555550
242 110 594703277
243 237 539759364
244 182 893681598
245 109 852038772
246 98 637750882
247 243 994218144
248 129 630877771
249 10 989985851
250 21 520636428
251 28 849793200
252 224 960595518
253 104 609247089
254 24 867531113
255 248 644405577
256 19 910255615
257 223 636859990
258 21 549265643
259 146 808824208
260 106 683018100
261 31 754296850
262 177 874610835
263 142 690582139
264 114 635510507
265 111 887584028
